"BIOID","Account_Handle","Account_Type"
"1103901","dbrulebois","GOVTWIT"
"1103901","d_brulebois","PTWIT"
"1103902","delphinegallois","PTWIT"
"1103903","AnneProstG","PTWIT"
"1104001","gdarrieussecq","GOVTWIT"
"1104001","gdarrieussecq21","OTWIT_TYPE_2"
"1104001","HauteVienneGD21","OTWIT2"
"1104002","DeputeCausse","GOVTWIT"
"1104002","lionel_causse","PTWIT"
"1104003","JFBroqueres","PTWIT"
"1104003","BroqueresJean","OTWIT_TYPE_2"
"1104101","MFesneau","GOVTWIT"
"1104101","avecmarcfesneau","OTWIT_TYPE_2"
"1104103","marionchristoph","PTWIT"
"1104103","CTHS_Marion_DG","OTWIT_TYPE_4"
"1104201","qbataillon","PTWIT"
"1104202","JeanMichelMIS","GOVTWIT"
"1104202","JeanMichelMIS1","PTWIT"
"1104203","EmmanuelMandon","PTWIT"
"1104203","AvecMandon2022","OTWIT_TYPE_2"
"1104204","sebanshannon","PTWIT"
"1104205","nathalie_sarles","GOVTWIT"
"1104205","NathSarles","PTWIT"
"1104206","JulienBorowczyk","GOVTWIT"
"1104301","CecileGallien","PTWIT"
"1104401","MounirBelhamiti","PTWIT"
"1104401","MBequipe","OTWIT_TYPE_3"
"1104402","NantesAvecVous","GOVTWIT"
"1104402","valerie_oppelt","PTWIT"
"1104402","VOppeltAvecVous","OTWIT_TYPE_2"
"1104403","AFBrunet_4403","GOVTWIT"
"1104403","nneFranceBrunet","PTWIT"
"1104404","AudeAmadou","GOVTWIT"
"1104405","sarahelhairy","PTWIT"
"1104406","JordanEsnault_","PTWIT"
"1104407","sandrinejossoan","GOVTWIT"
"1104407","SandrineJosso44","PTWIT"
"1104407","Josso2022","OTWIT_TYPE_2"
"1104408","audreydufeu","GOVTWIT"
"1104409","YHaury44","GOVTWIT"
"1104410","SophieErrante","GOVTWIT"
"1104501","stephanie_rist","PTWIT"
"1104502","CarolineJanvier","GOVTWIT"
"1104503","karinebarbier9","PTWIT"
"1104504","jmblanquer","PTWIT"
"1104505","BrosseAnthony","PTWIT"
"1104506","_richardramos","GOVTWIT"
"1104602","Huguette_Tiegna","GOVTWIT"
"1104701","lauzzanamichel","GOVTWIT"
"1104702","AVFreschi","GOVTWIT"
"1104703","olivierdam1","GOVTWIT"
"1104801","laurent_suau","PTWIT"
"1104901","FrGernigon","GOVTWIT"
"1104901","Gernigon2022","OTWIT_TYPE_2"
"1104902","stelladupont","GOVTWIT"
"1104903","SimHolley","PTWIT"
"1104903","avecSimonHolley","OTWIT_TYPE_2"
"1104904","l_saintpaul","GOVTWIT"
"1104905","denis_Masseglia","GOVTWIT"
"1104906","NicoleDubre17","GOVTWIT"
"1104907","phbolo","GOVTWIT"
"1105001","LaurentPien","PTWIT"
"1105001","pien_laurent","OTWIT_TYPE_2"
"1105002","BertrandSorre","GOVTWIT"
"1105002","sorre_depute","PTWIT"
"1105003","StTRAVERT","GOVTWIT"
"1105004","Sonia_Krimi","GOVTWIT"
"1105004","SoniaInEnglish","OTWIT_TYPE_1"
"1105101","xavieralbertini","PTWIT"
"1105101","albertinixavier","OTWIT_TYPE_4"
"1105102","Laure_Miller","PTWIT"
"1105103","GirardinEric","GOVTWIT"
"1105104","lise_magnier","GOVTWIT"
"1105104","lisemagnier2017","PTWIT"
"1105105","Pestre77207363","PTWIT"
"1105201","b_abba","GOVTWIT"
"1105301","MottierB","PTWIT"
"1105302","Bannier_G","GOVTWIT"
"1105303","yfavennec","GOVTWIT"
"1105401","CGrandjean54","GOVTWIT"
"1105403","XavierPalu2022","GOVTWIT"
"1105403","xavierpalu","PTWIT"
"1105404","Rachel_Thomas__","OTWIT_TYPE_2"
"1105405","marika_charlie","PTWIT"
"1105406","ErgunToparslan","PTWIT"
"1105502","anne_bois1","PTWIT"
"1105601","ALehenanff","PTWIT"
"1105602","JimmyPahun","GOVTWIT"
"1105602","EnMarche_56","PTWIT"
"1105603","NicoleLePeih","GOVTWIT"
"1105604","GueganRozenn","PTWIT"
"1105605","lymeno","PTWIT"
"1105606","J_M_Jacques","GOVTWIT"
"1105701","b_belhaddad","GOVTWIT"
"1105701","bbelhaddad","PTWIT"
"1105702","ludovicMDS","GOVTWIT"
"1105703","RichardLioger","GOVTWIT"
"1105704","CrennerEmilie","PTWIT"
"1105705","NicoleTrisse","PTWIT"
"1105706","christophearend","GOVTWIT"
"1105706","ArendChristoph1","PTWIT"
"1105707","HeleneZannier","GOVTWIT"
"1105708","BHammouche5708","GOVTWIT"
"1105708","b868692fc025437","PTWIT"
"1105708","HammoucheBrahi3","OTWIT_TYPE_4"
"1105709","IsabelleRauch","GOVTWIT"
"1105801","perrinegoulet","GOVTWIT"
"1105901","duhamel_vanessa","PTWIT"
"1105902","elegeest","GOVTWIT"
"1105903","DipompeoChrist","GOVTWIT"
"1105904","brigitte_liso","GOVTWIT"
"1105905","cauderlier_fred","PTWIT"
"1105905","FredericCAUDER1","OTWIT_TYPE_4"
"1105906","lecocqcharlotte","GOVTWIT"
"1105907","FelicieGerard","PTWIT"
"1105908","OssonCatherine","GOVTWIT"
"1105909","VSpillebout","PTWIT"
"1105909","VSpilleboutSNCF","OTWIT_TYPE_4"
"1105910","GDarmanin","PTWIT"
"1105911","pietraszewski_l","GOVTWIT"
"1105912","ALCattelot","GOVTWIT"
"1105913","Christinedecod1","PTWIT"
"1105914","christophe_p","GOVTWIT"
"1105915","ClaudeNicolet","PTWIT"
"1105915","ClaudeNICOLET1","OTWIT_TYPE_4"
"1105916","ChantalRybak","PTWIT"
"1105917","dhoubron1759","GOVTWIT"
"1105918","PhL5961","PTWIT"
"1105920","DelphineAlexan3","PTWIT"
"1105920","Delphin72123317","OTWIT_TYPE_4"
"1106001","AurelieFJoly","OTWIT_TYPE_2"
"1106002","chanezherbanne","OTWIT_TYPE_2"
"1106003","PascalBoisLaREM","GOVTWIT"
"1106004","ericwoerth","GOVTWIT"
"1106004","er_14235017894","PTWIT"
"1106004","eWOERTH","OTWIT_TYPE_4"
"1106005","etiennediot","OTWIT_TYPE_2"
"1106006","CaroleBBonnard","GOVTWIT"
"1106007","OphelieElsuwe","PTWIT"
"1106103","SoleneGibault","OTWIT_TYPE_2"
"1106201","BrunoDuverge","GOVTWIT"
"1106201","Duverge2022","PTWIT"
"1106202","JMaquetDeputee","GOVTWIT"
"1106203","nicolasbays","PTWIT"
"1106204","PhilippeFait22","PTWIT"
"1106205","JeanPierrePont","GOVTWIT"
"1106206","BrigBourguignon","GOVTWIT"
"1106207","Waroczyk","PTWIT"
"1106207","HWaroczyk","OTWIT_TYPE_2"
"1106208","BenoitPotterie","GOVTWIT"
"1106209","MDeprezAudebert","GOVTWIT"
"1106210","DagbertMichel","PTWIT"
"1106211","APintus_","OTWIT_TYPE_2"
"1106212","P_Debruyne","OTWIT_TYPE_2"
"1106301","Vthomas_63","GOVTWIT"
"1106302","KarinaMonnet","PTWIT"
"1106302","MonnetKarina","OTWIT_TYPE_2"
"1106303","LVichnievsky","PTWIT"
"1106304","DelphLingemann","PTWIT"
"1106401","josypoueyto","GOVTWIT"
"1106402","jp_mattei","GOVTWIT"
"1106402","jean_mattei","PTWIT"
"1106404","AnnickTrounday","OTWIT_TYPE_2"
"1106405","FlorenceLASSERR","GOVTWIT"
"1106406","bru_vincent","GOVTWIT"
"1106501","Sempastoushp","GOVTWIT"
"1106502","BenoitMournet","OTWIT_TYPE_2"
"1106601","RomainGrau","GOVTWIT"
"1106602","FrederiqueLis","OTWIT_TYPE_2"
"1106603","bataille_pierre","PTWIT"
"1106604","SCazenove","PTWIT"
"1106604","SebCazenove","OTWIT_TYPE_2"
"1106701","AlainFontanel","PTWIT"
"1106702","SylvainWaserman","GOVTWIT"
"1106703","BrunoStuder67","GOVTWIT"
"1106705","CSitzenstuhl","OTWIT_TYPE_2"
"1106706","LouiseMorel11","PTWIT"
"1106707","DepylPatrick","PTWIT"
"1106709","VincentThiebaut","GOVTWIT"
"1106709","DeputeThiebaut","PTWIT"
"1106801","KlinkertBrigitt","GOVTWIT"
"1106802","HubertOttAlsace","OTWIT_TYPE_2"
"1106805","becht_olivier","GOVTWIT"
"1106806","bruno_fuchs","GOVTWIT"
"1106901","trudigoz","GOVTWIT"
"1106901","trudigoz2020","PTWIT"
"1106902","lterrenes","OTWIT_TYPE_2"
"1106903","SarahPeillon","OTWIT_TYPE_2"
"1106904","AnneBrugnera","GOVTWIT"
"1106904","BrugneraAnne","PTWIT"
"1106905","BBrocard","GOVTWIT"
"1106906","Ehaziza69100","OTWIT_TYPE_2"
"1106907","Anissa_Khedher","GOVTWIT"
"1106908","DesprasAvecVous","OTWIT_TYPE_2"
"1106909","Ambroise_Mejean","OTWIT_TYPE_2"
"1106910","tgassilloud","GOVTWIT"
"1106910","ActuGassilloud","PTWIT"
"1106911","Jean_LucFUGIT","GOVTWIT"
"1106912","CIsaacSibille","GOVTWIT"
"1106913","sarah_tanzilli","OTWIT_TYPE_2"
"1106914","yves_blein","GOVTWIT"
"1107001","B_BessotBallot","GOVTWIT"
"1107002","lejeune_ch","GOVTWIT"
"1107101","BenjaminDirx","GOVTWIT"
"1107103","RRebeyrotte","GOVTWIT"
"1107104","ElisabethROBLOT","OTWIT_TYPE_2"
"1107105","l_margueritte","OTWIT_TYPE_2"
"1107201","juliedelpech72","OTWIT_TYPE_2"
"1107202","alexandra_mnt","OTWIT_TYPE_2"
"1107204","JLeFlochImad","PTWIT"
"1107205","JCGrelier","GOVTWIT"
"1107302","ArthurEmpereur","OTWIT_TYPE_2"
"1107304","PatrickMignola","GOVTWIT"
"1107401","V_Riotton","GOVTWIT"
